year,accomplishment,person,gender,category
1955,First black male dancer in a major ballet company,"Arthur Mitchell (New York City Ballet); also first African-American principal dancer of a major ballet company (NYCB), 1956.",Male Achievement,Arts & Entertainment
1955,First black singer to appear in a telecast opera,Leontyne Price in NBC's production of Tosca,Male Achievement,Arts & Entertainment
1955,First black pilot of a scheduled US airline,August Martin (cargo airline Seaboard & Western Airlines),Male Achievement,Social & Jobs
1955,First black person to serve as a presidential executive assistant,"E. Frederic Morrow, appointed by President Eisenhower as Administrative Officer for Special Projects.",Male Achievement,Military
1956,First black star of a nationwide network TV show,"Nat King Cole of The Nat King Cole Show, NBC",Male Achievement,Arts & Entertainment
1956,First black U.S. Secret Service agent,Charles Gittens,Male Achievement,Law
1956,"First black person to win the Cy Young Award as the top pitcher in Major League Baseball, in the award's inaugural year",Don Newcombe (Brooklyn Dodgers),Female Achievement,Education & Science
1957,First black woman Wimbledon Tennis Champion,Althea Gibson,Female Achievement,Sports
1957,First black assistant coach in the NFL,Lowell W. Perry,Male Achievement,Sports
1957,First black person to win the Best Actor Award at the Cannes Film Festival,John Kitzmiller (Dolina Miru),Male Achievement,Education & Science
1957,"First black person to win Major League Baseball's Gold Glove, in the award's inaugural year",Willie Mays (New York Giants),Male Achievement,Education & Science
1958,First black person to reach number 1 on the Billboard Hot 100,"Tommy Edwards (It's All in the Game), September 29",Male Achievement,Arts & Entertainment
1958,First black flight attendant,Ruth Carol Taylor (Mohawk Airlines),Male Achievement,Social & Jobs
1959,"First black Grammy Award winners, in the award's inaugural year",Ella Fitzgerald and Count Basie (two awards each),Male Achievement,Arts & Entertainment
1959,First black television journalist,Louis Lomax,Male Achievement,Arts & Entertainment
1959,First black group to reach #1 on the Billboard Hot 100,"The Platters (Smoke Gets in Your Eyes), January 19",Male Achievement,Arts & Entertainment
1959,First black person to win a major national player of the year award in college basketball,"Oscar Robertson, USBWA Player of the Year (in that award's inaugural year)",Male Achievement,Education & Science
1960,First black U.S. presidential candidate,"Rev. Clennon King, on the Independent Afro-American party",Male Achievement,Politics
1960,First black child to attend an all-white elementary school in the South,Ruby Bridges,Male Achievement,Education & Science
